iter	Logloss
0	0.6807483376
1	0.6662570114
2	0.6519423495
3	0.6373423918
4	0.6253963107
5	0.6147948646
6	0.6023235835
7	0.5918736215
8	0.5827933694
9	0.5727958604
10	0.5667485555
11	0.5612035892
12	0.5505941179
13	0.5437604524
14	0.5429072052
15	0.5394478759
16	0.5359205865
17	0.5296941311
18	0.5234239737
19	0.5198196968
20	0.515256008
21	0.5134853906
22	0.5103674978
23	0.5086771238
24	0.5048702996
25	0.5015536908
26	0.4955794445
27	0.493830664
28	0.4925677815
29	0.490185069
30	0.4882853746
31	0.4864545326
32	0.4853852323
33	0.4834620604
34	0.480682215
35	0.4778249905
36	0.4769469014
37	0.4745910059
38	0.4724340887
39	0.4721922189
40	0.4696792195
41	0.4689910194
42	0.4675573816
43	0.4664909396
44	0.4652440216
45	0.4640045734
46	0.4623598751
47	0.4608765604
48	0.4596226936
49	0.4583967584
50	0.4581594661
51	0.4573708781
52	0.454949235
53	0.4538778447
54	0.4533499706
55	0.4522610981
56	0.4516117431
57	0.4504686944
58	0.4497131031
59	0.4486712558
60	0.4477829766
61	0.446083612
62	0.4455052737
63	0.4446160636
64	0.4434565827
65	0.4428298667
66	0.4421835193
67	0.4404546016
68	0.4398157217
69	0.4386443036
70	0.4383993618
71	0.4382673575
72	0.4371337736
73	0.4364947968
74	0.4355688761
75	0.4345005073
76	0.4336028375
77	0.4331546982
78	0.4326192801
79	0.431873595
80	0.431578684
81	0.4309522968
82	0.4303363124
83	0.4293553235
84	0.4285601052
85	0.4280070032
86	0.4277522682
87	0.4270092018
88	0.4268334195
89	0.426245046
90	0.4250089512
91	0.4240653316
92	0.423626081
93	0.4231768035
94	0.4226409276
95	0.4221144203
96	0.4213798207
97	0.4207751444
98	0.4203155406
99	0.4200175667
100	0.4195274771
101	0.4190883917
102	0.4188266957
103	0.4182314064
104	0.4178773673
105	0.4176825441
106	0.4174745434
107	0.4163777782
108	0.4161454895
109	0.4151584409
110	0.4148532889
111	0.4142970314
112	0.4140433044
113	0.413700664
114	0.4132732077
115	0.4128059835
116	0.4123582784
117	0.4121191088
118	0.4120503803
119	0.4118399671
120	0.4115980156
121	0.4110940999
122	0.4104924202
123	0.410305601
124	0.4100730435
125	0.4097066978
126	0.4092440631
127	0.4088917406
128	0.4083442338
129	0.4081584225
130	0.4080173891
131	0.4076833512
132	0.4073003166
133	0.4071015357
134	0.4068630529
135	0.4065260724
136	0.4060597976
137	0.4058469202
138	0.4054688135
139	0.4051344297
140	0.4045187526
141	0.4041732606
142	0.403909159
143	0.4036872338
144	0.4033297052
145	0.4027850035
146	0.4025699059
147	0.4022922028
148	0.4019430159
149	0.4015225541
150	0.4009867189
151	0.4006454264
152	0.3999865048
153	0.3994980519
154	0.3989102295
155	0.3985572663
156	0.3984215706
157	0.3982686201
158	0.3979674185
159	0.3978570126
160	0.3974132547
161	0.3972093199
162	0.3968928152
163	0.3967486343
164	0.3966666051
165	0.3955936552
166	0.3954771333
167	0.3952995932
168	0.3951680548
169	0.3950049501
170	0.394287603
171	0.3940815731
172	0.3939495514
173	0.3937863198
174	0.3936012429
175	0.3932166527
176	0.3930576679
177	0.3928883934
178	0.3926258156
179	0.3923561844
180	0.3916616114
181	0.3911070958
182	0.3906886304
183	0.3902652008
184	0.3899782676
185	0.38963184
186	0.3894957395
187	0.3888293611
188	0.388364555
189	0.388114428
190	0.3879323026
191	0.3877241075
192	0.3872438831
193	0.3870674409
194	0.3869182789
195	0.3864442992
196	0.3860674368
197	0.3856581421
198	0.3851704327
199	0.3849752335
200	0.3842707583
201	0.383939261
202	0.3835355364
203	0.3832315925
204	0.3829387457
205	0.3827232147
206	0.3824947439
207	0.3820545975
208	0.3818236702
209	0.3813562539
210	0.3808929363
211	0.3802282725
212	0.3798499458
213	0.379593331
214	0.379306015
215	0.3784920573
216	0.3781393245
217	0.3777449781
218	0.3771261215
219	0.3767268918
220	0.3763877578
221	0.3759726465
222	0.3757296664
223	0.3753900914
224	0.3746559929
225	0.3742439448
226	0.3740291227
227	0.3736190289
228	0.3733208225
229	0.3728428943
230	0.372499744
231	0.3721607845
232	0.3716791046
233	0.3708417125
234	0.3705630314
235	0.3702648354
236	0.3700373491
237	0.369630114
238	0.3692409038
239	0.3690641382
240	0.3687875625
241	0.3684701686
242	0.3679888074
243	0.3671041791
244	0.366847668
245	0.3665552904
246	0.3663227388
247	0.3657143166
248	0.3647546217
249	0.3645107208
250	0.3640308823
251	0.3637676423
252	0.3633974722
253	0.3629658427
254	0.3624112303
255	0.3621716041
256	0.3617386366
257	0.3614816566
258	0.3611444164
259	0.3605542775
260	0.360018329
261	0.3592476477
262	0.358987676
263	0.3582982868
264	0.3580476351
265	0.3578351912
266	0.3576273759
267	0.3573071645
268	0.3567645556
269	0.3565427714
270	0.3561361922
271	0.3558893568
272	0.3556189094
273	0.3553154496
274	0.3550603121
275	0.3545892446
276	0.3544949452
277	0.3537061161
278	0.353467961
279	0.3531854183
280	0.3526292922
281	0.3523671532
282	0.3519646189
283	0.3516933829
284	0.3516131285
285	0.3512459622
286	0.3508291333
287	0.3505171659
288	0.3502925785
289	0.349962857
290	0.349688896
291	0.3493124805
292	0.3490269592
293	0.3487658653
294	0.3482357768
295	0.347894581
296	0.3476856997
297	0.3471797987
298	0.3469196382
299	0.346489914
300	0.3461669126
301	0.3457589017
302	0.345483346
303	0.3452883436
304	0.3450707353
305	0.3448929798
306	0.3443599394
307	0.3440518469
308	0.3438527725
309	0.3436664591
310	0.3435131618
311	0.3432531646
312	0.3429924396
313	0.3426663572
314	0.3423713324
315	0.3422069955
316	0.3418238147
317	0.3416510391
318	0.3414537868
319	0.3413188169
320	0.3407918894
321	0.3403708119
322	0.3402016572
323	0.3396953745
324	0.3393556888
