iter	Passed	Remaining
0	7	3600
1	14	3564
2	20	3476
3	28	3506
4	34	3458
5	42	3494
6	49	3480
7	56	3485
8	63	3470
9	70	3478
10	78	3468
11	85	3457
12	92	3470
13	99	3462
14	106	3454
15	114	3459
16	123	3507
17	131	3524
18	139	3519
19	146	3509
20	153	3494
21	160	3494
22	167	3481
23	175	3472
24	182	3458
25	189	3449
26	196	3447
27	203	3430
28	210	3418
29	217	3407
30	224	3396
31	231	3387
32	238	3377
33	245	3366
34	253	3362
35	259	3350
36	267	3344
37	274	3333
38	281	3327
39	285	3284
40	292	3279
41	298	3257
42	305	3251
43	312	3241
44	320	3236
45	326	3226
46	334	3221
47	341	3213
48	348	3206
49	355	3199
50	360	3172
51	368	3171
52	375	3169
53	383	3165
54	388	3145
55	397	3151
56	406	3156
57	415	3162
58	424	3175
59	431	3167
60	439	3160
61	446	3151
62	453	3142
63	460	3134
64	467	3126
65	474	3120
66	481	3111
67	488	3104
68	495	3095
69	502	3087
70	507	3066
71	512	3046
72	519	3038
73	526	3030
74	533	3023
75	540	3017
76	547	3010
77	554	3001
78	562	2995
79	569	2987
80	576	2980
81	583	2973
82	590	2966
83	597	2960
84	605	2954
85	612	2946
86	619	2939
87	626	2931
88	633	2924
89	640	2916
90	647	2910
91	654	2902
92	661	2894
93	668	2886
94	675	2878
95	682	2872
96	689	2865
97	696	2857
98	703	2850
99	710	2843
100	717	2835
101	725	2829
102	732	2822
103	739	2814
104	745	2806
105	751	2792
106	758	2785
107	765	2778
108	770	2763
109	777	2757
110	784	2749
111	791	2743
112	799	2736
113	805	2728
114	813	2721
115	820	2715
116	827	2708
117	834	2699
118	839	2688
119	846	2681
120	854	2675
121	861	2668
122	868	2662
123	875	2654
124	882	2648
125	889	2641
126	897	2634
127	904	2627
128	910	2619
129	917	2612
130	924	2605
131	933	2602
132	942	2599
133	950	2596
134	959	2593
135	966	2587
136	974	2581
137	980	2573
138	988	2567
139	995	2559
140	1002	2552
141	1009	2545
142	1016	2537
143	1023	2530
144	1030	2522
145	1037	2515
146	1044	2508
147	1051	2501
148	1056	2489
149	1064	2482
150	1071	2476
151	1078	2470
152	1086	2463
153	1093	2457
154	1101	2450
155	1107	2443
156	1115	2436
157	1122	2429
158	1129	2422
159	1136	2414
160	1144	2408
161	1150	2401
162	1158	2394
163	1165	2387
164	1172	2380
165	1180	2374
166	1186	2366
