iter	Passed	Remaining
0	139	86768
1	142	44078
2	145	29933
3	147	22814
4	150	18542
5	153	15694
6	155	13641
7	157	12092
8	160	10899
9	162	9938
10	165	9151
11	167	8504
12	170	7951
13	172	7474
14	174	7067
15	177	6706
16	179	6384
17	182	6100
18	184	5842
19	186	5610
20	189	5402
21	191	5210
22	193	5036
23	196	4876
24	198	4731
25	200	4597
26	203	4470
27	205	4352
28	207	4242
29	210	4139
30	212	4042
31	214	3951
32	217	3867
33	219	3786
34	221	3709
35	223	3637
36	226	3569
37	228	3506
38	230	3444
39	233	3386
40	235	3331
41	237	3279
42	240	3228
43	242	3175
44	244	3129
45	246	3085
46	249	3042
47	251	3002
48	253	2962
49	256	2924
50	258	2892
51	261	2859
52	263	2827
53	266	2796
54	268	2765
55	271	2737
56	273	2709
57	276	2682
58	278	2657
59	281	2630
60	283	2605
61	286	2580
62	288	2558
63	291	2535
64	293	2513
65	296	2491
66	298	2469
67	301	2450
68	304	2435
69	306	2414
70	309	2393
71	311	2373
72	313	2354
73	315	2335
74	318	2317
75	320	2299
76	322	2281
77	325	2264
78	327	2247
79	329	2230
80	332	2215
81	334	2199
82	337	2184
83	339	2169
84	341	2155
85	344	2140
86	346	2126
87	348	2113
88	351	2099
89	353	2086
90	355	2073
91	358	2060
92	360	2047
93	363	2036
94	365	2023
95	367	2012
96	370	2000
97	372	1988
98	374	1977
99	377	1964
100	379	1952
101	381	1941
102	383	1930
103	386	1919
104	388	1909
105	390	1898
106	393	1888
107	395	1878
108	397	1868
109	400	1859
110	402	1849
111	405	1840
112	407	1831
113	409	1821
114	411	1812
115	414	1803
116	416	1794
117	418	1785
118	421	1776
119	423	1768
120	425	1759
121	428	1751
122	430	1743
123	433	1735
124	435	1727
125	437	1719
126	439	1711
127	442	1703
128	444	1695
129	447	1688
130	449	1680
131	451	1673
132	454	1666
133	456	1658
134	458	1651
135	460	1643
136	463	1636
137	465	1629
138	467	1622
139	470	1615
140	472	1608
141	474	1601
142	477	1594
143	479	1588
144	481	1581
145	484	1574
146	486	1568
147	488	1561
148	490	1554
149	493	1548
150	495	1542
151	497	1536
152	500	1529
153	502	1523
154	504	1517
155	507	1511
156	509	1505
157	511	1499
158	514	1493
159	516	1487
160	518	1481
161	520	1475
162	523	1470
163	525	1464
164	527	1458
165	530	1453
166	532	1447
167	534	1442
168	537	1436
169	539	1431
170	542	1426
171	544	1420
172	546	1415
173	548	1410
174	551	1404
175	553	1399
176	556	1394
177	557	1388
178	560	1383
179	562	1378
180	564	1373
181	567	1367
182	569	1362
183	571	1357
184	574	1352
185	576	1347
186	578	1342
187	580	1337
188	583	1333
189	585	1328
190	587	1323
191	590	1318
192	592	1314
193	594	1309
194	597	1304
195	599	1300
196	602	1296
197	604	1292
198	607	1287
199	609	1282
200	611	1278
201	613	1273
202	616	1269
203	618	1264
204	621	1260
205	623	1255
206	625	1251
207	628	1247
208	630	1242
209	632	1238
210	635	1234
211	637	1230
212	640	1226
213	642	1221
214	644	1217
215	647	1213
216	649	1209
217	652	1205
218	654	1201
219	656	1196
220	658	1192
221	661	1188
222	663	1184
223	665	1180
224	668	1176
225	672	1174
226	674	1171
227	677	1167
228	679	1163
229	681	1159
230	684	1154
231	686	1150
232	688	1146
233	690	1142
234	693	1138
235	695	1134
236	698	1130
237	700	1127
238	702	1123
239	705	1119
240	707	1115
241	709	1111
242	711	1107
243	714	1103
244	716	1099
245	719	1096
246	721	1092
247	724	1088
248	726	1085
249	728	1081
250	730	1077
251	733	1073
252	735	1069
253	738	1066
254	740	1062
255	742	1058
256	744	1055
257	747	1051
258	749	1047
259	752	1044
260	754	1040
261	756	1037
262	759	1033
263	761	1029
264	763	1026
265	766	1022
266	768	1019
267	770	1015
268	773	1011
269	775	1008
270	778	1004
271	780	1001
272	782	997
273	784	994
274	787	990
275	789	986
276	791	983
277	794	979
278	796	976
279	798	972
280	801	969
281	803	966
282	805	962
283	808	958
284	810	955
285	812	952
286	815	948
287	817	945
288	819	941
289	822	938
290	824	935
291	826	931
292	829	928
293	831	924
294	833	921
295	836	917
296	838	914
297	840	911
298	843	908
299	845	905
300	848	901
301	850	898
302	852	895
303	855	891
304	857	888
305	859	885
306	862	882
307	864	878
308	867	875
309	869	872
310	871	868
311	873	865
312	876	862
313	878	859
314	880	855
315	883	852
316	885	849
317	887	846
318	890	842
319	892	839
320	894	836
321	896	832
322	899	829
323	901	826
324	903	823
325	906	819
326	908	816
327	910	813
328	912	810
329	915	807
330	917	803
331	919	800
332	922	797
333	924	794
334	927	791
335	929	788
336	932	785
337	934	782
338	936	779
339	939	776
340	941	773
341	943	769
342	946	766
343	948	763
344	950	760
345	953	757
346	955	754
347	957	751
348	960	748
349	962	745
350	964	742
351	967	739
352	969	736
353	971	732
354	974	729
355	976	726
356	978	723
357	981	720
358	983	717
359	985	714
360	988	711
361	990	708
362	992	705
363	994	702
364	997	699
365	999	696
366	1001	693
367	1004	690
368	1006	687
369	1008	684
370	1010	681
371	1013	678
372	1015	675
373	1017	672
374	1020	669
375	1022	666
376	1024	663
377	1027	660
378	1029	657
379	1031	654
380	1034	651
381	1036	648
382	1038	645
383	1041	642
384	1043	639
385	1045	636
386	1047	633
387	1050	630
388	1052	627
389	1054	624
390	1057	621
391	1059	618
392	1061	616
393	1064	613
394	1066	610
395	1068	607
396	1071	604
397	1073	601
398	1075	598
399	1078	595
400	1081	593
401	1083	590
402	1085	587
403	1088	584
404	1090	581
405	1092	578
406	1094	575
407	1097	572
408	1099	569
409	1101	567
410	1104	564
411	1106	561
412	1109	558
413	1111	555
414	1114	552
415	1116	550
416	1118	547
417	1120	544
418	1123	541
419	1125	538
420	1127	535
421	1130	532
422	1132	530
423	1134	527
424	1137	524
425	1139	521
426	1141	518
427	1144	515
428	1146	513
429	1148	510
430	1150	507
431	1153	504
432	1155	501
433	1157	498
434	1160	496
435	1162	493
436	1164	490
437	1167	487
438	1169	484
439	1171	482
440	1173	479
441	1176	476
442	1178	473
443	1180	470
444	1183	467
445	1185	465
446	1187	462
447	1190	459
448	1192	456
449	1194	454
450	1197	451
451	1199	448
452	1201	445
453	1204	442
454	1206	440
455	1208	437
456	1210	434
457	1213	431
458	1215	429
459	1218	426
460	1220	423
461	1223	420
462	1225	418
463	1227	415
464	1230	412
465	1232	410
466	1235	407
467	1237	404
468	1239	401
469	1241	398
470	1244	396
471	1246	393
472	1248	390
473	1251	388
474	1253	385
475	1255	382
476	1257	379
477	1260	377
478	1262	374
479	1265	371
480	1267	368
481	1269	366
482	1271	363
483	1274	360
484	1276	358
485	1279	355
486	1281	352
487	1283	349
488	1286	347
489	1288	344
490	1290	341
491	1293	339
492	1295	336
493	1297	333
494	1300	330
495	1302	328
496	1304	325
497	1307	322
498	1309	320
499	1311	317
500	1314	314
501	1316	312
502	1318	309
503	1321	306
504	1323	304
505	1325	301
506	1328	298
507	1330	295
508	1332	293
509	1335	290
510	1337	287
511	1339	285
512	1342	282
513	1344	279
514	1346	277
515	1349	274
516	1351	271
517	1353	269
518	1356	266
519	1358	263
520	1360	261
521	1363	258
522	1365	255
523	1367	253
524	1370	250
525	1372	247
526	1374	245
527	1377	242
528	1379	239
529	1381	237
530	1384	234
531	1386	231
532	1388	229
533	1391	226
534	1393	224
535	1395	221
536	1398	218
537	1400	216
538	1402	213
539	1405	210
540	1407	208
541	1409	205
542	1412	202
543	1414	200
544	1416	197
545	1419	194
546	1421	192
547	1423	189
548	1425	187
549	1428	184
550	1430	181
551	1432	179
552	1435	176
553	1437	173
554	1439	171
555	1442	168
556	1444	165
557	1446	163
558	1449	160
559	1451	158
560	1453	155
561	1456	152
562	1458	150
563	1460	147
564	1463	145
565	1465	142
566	1467	139
567	1470	137
568	1472	134
569	1474	131
570	1477	129
571	1479	126
572	1481	124
573	1483	121
574	1486	118
575	1488	116
576	1490	113
577	1493	111
578	1495	108
579	1497	105
580	1500	103
581	1502	100
582	1504	98
583	1507	95
584	1509	92
585	1511	90
586	1514	87
587	1516	85
588	1518	82
589	1521	79
590	1523	77
591	1525	74
592	1528	72
593	1530	69
594	1532	66
595	1535	64
596	1537	61
597	1539	59
598	1542	56
599	1544	54
600	1547	51
601	1549	48
602	1551	46
603	1553	43
604	1556	41
605	1558	38
606	1560	36
607	1563	33
608	1565	30
609	1567	28
610	1570	25
611	1572	23
612	1574	20
613	1577	17
614	1579	15
615	1581	12
616	1584	10
617	1586	7
618	1588	5
619	1591	2
620	1593	0
